Store ID,Order Placed Date,Source ID,Employee ID,Order Taken Date,Order ID,Sub Total,Order Total
1,8/9/2019 16:32,9,213928,8/9/2019 16:32,293521,5.99,6.39
1,8/9/2019 17:29,9,213928,8/9/2019 16:34,293522,24,25.59
1,8/9/2019 16:48,9,213928,8/9/2019 16:47,293523,17.97,19.16
1,8/9/2019 17:17,9,213928,8/9/2019 16:50,293524,9,9.6
1,8/9/2019 16:57,9,213928,8/9/2019 16:57,293525,11.99,12.78
1,8/9/2019 16:59,9,213928,8/9/2019 16:58,293526,19.25,20.53
1,8/9/2019 17:01,9,213928,8/9/2019 17:00,293527,6.54,6.97
1,8/9/2019 17:11,9,213928,8/9/2019 17:10,293528,12,12.8
1,8/9/2019 17:12,9,213928,8/9/2019 17:12,293529,6,6.4
1,8/9/2019 17:22,9,213928,8/9/2019 17:21,293530,11,11.73
1,8/9/2019 17:23,9,213928,8/9/2019 17:22,293531,14.68,15.65
1,8/9/2019 17:28,9,213928,8/9/2019 17:27,293532,2.69,2.87
1,8/9/2019 17:30,9,213928,8/9/2019 17:30,293533,9,9.6
1,8/9/2019 17:32,9,213928,8/9/2019 17:31,293534,11.99,12.78
1,8/9/2019 17:37,9,213928,8/9/2019 17:36,293535,17.99,19.18
1,8/9/2019 17:38,9,213928,8/9/2019 17:38,293536,8.68,9.26
1,8/9/2019 17:39,9,213928,8/9/2019 17:39,293537,7.44,7.93
1,8/9/2019 17:42,9,213928,8/9/2019 17:42,293538,9,9.6
1,8/9/2019 17:45,9,213928,8/9/2019 17:45,293539,6.5,6.93
1,8/9/2019 17:46,9,213928,8/9/2019 17:45,293540,11.99,12.78
1,8/9/2019 17:49,9,213928,8/9/2019 17:49,293541,12,12.8
1,8/9/2019 17:51,9,213928,8/9/2019 17:51,293542,5.99,6.39
1,8/9/2019 17:54,9,213928,8/9/2019 17:54,293543,1,1.07
1,8/9/2019 18:00,9,213928,8/9/2019 17:59,293544,11.99,12.78
1,8/9/2019 18:01,9,213928,8/9/2019 18:00,293545,5.99,6.39
1,8/9/2019 18:02,9,213928,8/9/2019 18:01,293546,6,6.4
1,8/9/2019 18:02,9,213928,8/9/2019 18:02,293547,11.99,12.78
1,8/9/2019 18:03,9,213928,8/9/2019 18:03,293548,6,6.4
1,8/9/2019 18:04,9,213928,8/9/2019 18:04,293549,6.5,6.93
1,8/9/2019 18:05,9,213928,8/9/2019 18:05,293550,9,9.6
1,8/9/2019 18:07,9,213928,8/9/2019 18:06,293551,6,6.4
1,8/9/2019 18:09,9,213928,8/9/2019 18:07,293552,20.49,21.85
1,8/9/2019 18:10,9,213928,8/9/2019 18:10,293553,4.75,5.06
1,8/9/2019 18:17,9,213928,8/9/2019 18:16,293555,8.33,8.88
1,8/9/2019 18:53,9,213928,8/9/2019 18:21,293556,16.75,17.86
1,8/9/2019 18:24,9,213928,8/9/2019 18:21,293557,26.5,28.26
1,8/9/2019 18:25,9,213928,8/9/2019 18:24,293558,15.5,16.53
1,8/9/2019 18:26,9,213928,8/9/2019 18:26,293559,12,12.8
1,8/9/2019 18:28,9,213928,8/9/2019 18:28,293560,6,6.4
1,8/9/2019 18:30,9,213928,8/9/2019 18:30,293561,5.99,6.39
1,8/9/2019 18:32,9,213928,8/9/2019 18:32,293562,6,6.4
1,8/9/2019 18:34,9,213928,8/9/2019 18:33,293563,6,6.4
1,8/9/2019 18:36,9,213928,8/9/2019 18:36,293564,11.99,12.78
1,8/9/2019 18:38,9,213928,8/9/2019 18:37,293565,8,8.53
1,8/9/2019 18:40,9,213928,8/9/2019 18:39,293566,18,19.19
1,8/9/2019 18:42,9,213928,8/9/2019 18:42,293567,4.69,5
1,8/9/2019 18:42,9,213928,8/9/2019 18:42,293568,6,6.4
1,8/9/2019 18:46,9,213928,8/9/2019 18:45,293569,14.5,15.46
1,8/9/2019 18:47,9,213928,8/9/2019 18:47,293570,9.5,10.13
1,8/9/2019 18:48,9,213928,8/9/2019 18:48,293571,6,6.4
1,8/9/2019 18:54,9,213928,8/9/2019 18:54,293572,6,6.4
1,8/9/2019 18:57,9,213928,8/9/2019 18:56,293573,24,25.59
1,8/9/2019 18:59,9,213928,8/9/2019 18:58,293574,17.5,18.66
1,8/9/2019 18:59,9,213928,8/9/2019 18:59,293575,5.99,6.39
1,8/9/2019 19:06,9,213928,8/9/2019 19:00,293576,41.82,44.59
1,8/9/2019 19:06,11,213928,8/9/2019 19:06,293577,6,6.4
1,8/9/2019 19:09,9,213928,8/9/2019 19:09,293578,7.79,8.31
