Store ID,Transaction Type,Amount,Transaction Count,Date
40,Credit,342.82,36,8/5/2019
39,Credit,572.01,65,8/5/2019
38,Credit,332.52,29,8/5/2019
37,Credit,324.24,29,8/5/2019
23,Credit,252.16,27,8/5/2019
22,Credit,338.79,28,8/5/2019
21,Credit,364.58,31,8/5/2019
20,Credit,843.63,82,8/5/2019
19,Credit,370.25,31,8/5/2019
12,Credit,442.72,45,8/5/2019
11,Credit,661.44,60,8/5/2019
10,Credit,219.18,21,8/5/2019
6,Credit,557.91,53,8/5/2019
3,Credit,526.27,55,8/5/2019
2,Credit,366.74,35,8/5/2019
1,Credit,484.9,43,8/5/2019
41,Checks,0,0,8/5/2019
40,Checks,0,0,8/5/2019
39,Checks,0,0,8/5/2019
38,Checks,0,0,8/5/2019
37,Checks,0,0,8/5/2019
23,Checks,0,0,8/5/2019
22,Checks,0,0,8/5/2019
21,Checks,0,0,8/5/2019
20,Checks,0,0,8/5/2019
19,Checks,0,0,8/5/2019
12,Checks,0,0,8/5/2019
11,Checks,0,0,8/5/2019
10,Checks,0,0,8/5/2019
6,Checks,0,0,8/5/2019
3,Checks,0,0,8/5/2019
2,Checks,0,0,8/5/2019
1,Checks,0,0,8/5/2019
41,Cash,408.61,47,8/5/2019
40,Cash,475.58,65,8/5/2019
39,Cash,780.97,101,8/5/2019
38,Cash,289.17,36,8/5/2019
37,Cash,369.8,36,8/5/2019
23,Cash,408.06,53,8/5/2019
22,Cash,326.17,36,8/5/2019
21,Cash,596.82,58,8/5/2019
20,Cash,1637.67,187,8/5/2019
19,Cash,258.7,29,8/5/2019
12,Cash,684.74,81,8/5/2019
11,Cash,972.75,107,8/5/2019
10,Cash,616.04,68,8/5/2019
6,Cash,788.42,89,8/5/2019
3,Cash,1116.93,123,8/5/2019
2,Cash,350.67,46,8/5/2019
1,Cash,1085.98,105,8/5/2019
41,Alt. Currency,0,0,8/5/2019
40,Alt. Currency,0,0,8/5/2019
39,Alt. Currency,0,0,8/5/2019
